duration,date,subjectcode,rule.break,why,consequences,manager.response,consq.different,you,company,other,agree,industry,job.description,manager,comments1,comments2
238,5/26/21 13:43,R_3Do2rczYLbhTjIn,A time I broke a company policy as an employee was to help a customer.,The customer wanted to take a picture from a part they where not suppose to.,We get a warning,They let it slide since it was my first offence,Yes because I thought I would get in trouble.,1,0,2,1,tourism,Our responsibility was to take tourist on a tour of the area.,0,Nothing was confusing nor unclear.,N/A
176,5/26/21 13:49,R_1It8D3TciqTdTtl,I took a kid home in my car who was stranded at school.,I felt sorry for her,the family was so grateful they gave me presents,they ignored it,"I thought I might get in trouble, scolded or fired.",2,2,2,-2,education.  I'm a teacher at a private school.,I teach science to a student body of high school girls.  I convey a complex curriculum.,0,no,
301,5/26/21 13:50,R_em4cWNkO2LJL1Pr,I arrived to work late one day on purpose because my boss kept demanding I show up to cover for someone who went home early. My shift didn't start for like 4 more hours.,I wasn't scheduled to come in at that time and I do not put unnecessary pressure on myself for a company that ultimately means nothing to me.,Essentially getting reprimanded.,"He was angry, but that's obvious. He thinks I should bend over and be some company man when that just isn't me.","A bit, yeah. I honestly expected to get fired. Instead I got to feel like my managers child.",2,-2,-2,-2,Retail.,"Cashier, stocking, general customer service, inventory, general labor. Menial retail work.",0,"Nope, everything was crystal clear.",I appreciate the opportunity.
471,5/26/21 14:15,R_9nNqb1KIDVrUuXv,I took a few days off without actually asking or getting approval. ,I felt that I deserved a break for a few days after a long and hard project.,I was yelled at a bit by my boss but nothing further happened/,He yelled at me and told me not to do it again but he seemed to understand.,Yes as I thought I might get written up.,2,-2,-1,-1,Tech company in a marketing manager role,"manage the marketing strategy, staff, and overall budget.",1,Not at all.,
247,5/26/21 14:19,R_2S8HpYo21JtA9r7,"I was told to reprimand someone because it was ""policy"", even though I didn't believe she should have gotten in trouble for standing her ground against someone misusing their authority. I didn't do it.",She shouldn't have to get in trouble for calling someone else out on their behavior.,"She didn't get strike points against her, and the man who verbally assaulted her did.","I got a stern talking to, the usual business of ""this is how it works here and always has"", as though there isn't room for growth. Thankfully my bosses' boss was on the same page as me.","A bit, I didn't think the upper boss would appreciate me going against the norm.",0,1,2,-1,I worked as an office assistant for a railroad construction company.,"Created time sheets/cards, filed paperwork, and took phone calls. I also managed meetings throughout different departments.",0,nothing was confusing.,
269,5/26/21 14:26,R_2tru3XrDDHqfCk9,I took a longer lunch than allowed as I met with the vendor but still got paid for the time.,I was in an engaging conversation with my vendor and it felt good socializing with them during work hours.,none,Manager did not respond in any way.  she just wanted to know how the lunch went.,not different at all.,1,1,1,1,marketing coordinator for healthfood supplements,I manage all marketing projects for the company.  My main duty is to negotiate with vendors and make sure they are on track with all our marketing efforts.,1,no,
1265,5/26/21 14:26,R_XFzJmhKbZrpLoU9,"When I worked at a quick service restaurant, we were not allowed to eat certain foods on break due to the low profit margins on those foods. On a few occasions, I ate them anyway.","When I had particularly rough shifts where management asked too much of me, I didn't care about these kinds of rules.",Nothing.,"They didn't know. If they did, they never said anything about it.","No, it was easy to get away with things like that.",1,-1,-2,-1,food service,"cooking, cleaning",0,no,
745,5/26/21 15:07,R_1yNtWWaCp2rqTvP,One time I took an extra longer break than I was supposed to. Employees in my company are only allowed a 60 minute break and I took a 90-minute one on a day where I felt sluggish and fatigued.,"I did this simply because I felt I deserved it and knew that there was a slim possibility of anyone finding out or being that upset about it. I work hard regularly, have above-the-norm attendance and almost never come to work late.","There were no consequences for me doing that. I doubt anyone noticed and if they did, I did not hear about it.",My manager did nothing in response to me taking a longer break.,"No, the consequences were somewhat similar to what I expected. I expected no one to confront me about this and no one did.",2,-2,-2,-1,retail,"I assist customers with their shopping needs, organize in-store merchandise, and work on the cash register.",0,No.,
115,5/26/21 15:09,R_2SqAjgAGdlDRSIC,I took a longer lunch break than allotted.,I was doing the work of 2 people for the same pay and needed a break.,None. No one knew.,Nothing. She didn't know.,No.,2,-2,-2,-2,information technology,Collecting and analyzing data.,0,none,
200,5/26/21 15:11,R_2uPVY9lGlSzwuqC,When I worked at a gas station in the rough part of town. I was told when the customer is mad to not leave our cage. However I found out when i went outside the cage and talked to them to help them it was more efficant. ,Because it allowed me to have better customer service.,Nothing other risking my own safety ,Told me I was stupid for doing it.,Yes,1,2,2,-1,Retail gas station,My job was to help customers get gas and meet them with quick and friendly service. ,1,No everything was straight forward and clear.,
280,5/26/21 15:18,R_1LuLcJnnlbt7Pjr,Normally employees aren't allowed to shop or buy things from the store on their shift. However I started doing that on my shift. ,I had to rush home after my shift to take a test so I couldn't stay after to shop. I was out of groceries so it was pretty necessary. ,I just got a verbal warning and told not to do it again but they were relatively understanding. ,He just called me into his office and talked about it with me. He was pretty understanding but he illustrated why it's a company rule and why I should follow it. ,I thought I would get fined or lose pay since I was slacking off while working but I guess I got the benefit of the doubt since I have worked here for so long. ,2,-2,-2,-1,retail,I stock the shelves and help customers get their products. ,0,nope,
206,5/26/21 15:23,R_3NzdNP0oAHUl7LM,"I took a bunch of office supplies home when we were furloughed.  I figured I might need them if there was work to do at home, but it did technically violate the rules and constitute theft.",To be able to work from home if I needed to.,"Nobody ever found out, so there were no consequences.",I am the manager of my department and my supervisor never found out.,"No, I didn't think anyone would notice, since there were much bigger problems to deal with at the time.",1,-2,-1,1,Film and television production.,"I work in the art department of a television show.  I design, build, and dress sets.",1,Nope.,It was very short.  I hope I wrote enough for you.
168,5/26/21 15:43,R_23VSFw7iZoWxYo2,"When I was supposed to ask a patient's family member to leave after visiting hours, but they were having a very bad time and needed the emotional support. ","I allowed that family to stay overnight and decided to deal with my morning shift coworker telling me I couldn't do that, knowing it would be too late as the family member had spent the night already and the patient's needs were met even though I broke a rule.",The next morning shift nurse chewed me out and warned me not to do it again.,They were never notified.,No.,-2,-2,2,-2,Healthcare,Taking care of patients in a life or death scenario oftentimes. It is high stress and requires focus and dedication.,1,No.,No.
