duration,date,subjectcode,a1,a2,a3,a4,a5,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,d1,d2,d3,d4,d5,e1,e2,e3,e4,e5,f1,f2,f3,f4,f5,g1,g2,g3,g4,g5,h1,h2,h3,h4,h5,i1,i2,i3,i4,i5,j1,j2,j3,j4,j5,k1,k2,k3,k4,k5,l1,l2,l3,l4,l5,manager,industry,job.description,managed.workers,years.manager,comments1,comments2
429,5/27/21 13:17,R_31AFhF5GxKmT6Tp,11,12,15,14,2,11,12,13,13,3,11,12,14,15,5,12,15,12,15,4,12,14,13,13,3,12,12,15,15,2,11,12,14,15,5,12,12,15,15,3,12,14,14,15,3,12,13,13,15,5,15,15,13,15,5,12,12,14,15,2,2,MTurk,I am not working at this point except on MTurk,,,No,No
526,5/27/21 13:19,R_1NlAGojgaPySAvh,11,12,15,12,3,12,13,14,13,5,12,12,13,15,5,12,13,13,15,5,12,14,15,12,5,12,12,15,14,1,14,13,13,15,5,12,13,15,15,2,12,12,15,15,1,15,12,13,15,5,15,15,12,15,5,14,13,15,15,1,2,retail,Simple cashier.  I ring up and bag customers' groceries.,,,no,
417,5/27/21 13:19,R_2roQsRelH1Zjv5k,12,12,15,15,3,13,13,15,14,3,12,12,15,15,5,11,14,13,15,5,15,15,15,15,5,14,15,15,15,3,12,14,14,15,5,12,13,15,15,4,13,14,15,15,4,13,14,14,15,5,15,15,12,15,5,13,14,15,15,3,2,Finance,"I am an administrative assistant for a number of financial advisors. I set up appointments, manage calendars, and other administrative duties.",,,,
590,5/27/21 13:20,R_55CJit2Ekm315kt,13,14,14,15,3,13,13,13,13,3,14,14,13,15,5,13,14,12,15,5,12,13,13,14,2,14,14,14,14,2,13,12,14,15,5,13,14,13,14,2,14,12,14,14,2,15,15,13,15,5,15,13,13,15,5,15,15,14,15,3,1,Security,I am shift supervisor over the weekend. I patrol all of the neighborhoods and lock up things at the end of the night,2,3,"No, this was clear, but a lot of interesting circumstances",I have to deal with these type of problems occasionally.
576,5/27/21 13:21,R_2q4vi2ZDIgQUk20,14,14,15,15,3,12,13,14,15,3,12,14,15,15,5,12,14,14,15,4,14,14,15,15,5,13,14,15,14,2,13,14,14,15,5,12,15,15,15,3,12,14,14,15,3,14,15,14,15,5,15,15,13,15,5,13,15,15,15,3,2,Freelance art & design,Taking commissions for things related to art & design. Working with people to meet their expectations throughout the commission.,,,I don't think so.,
651,5/27/21 13:22,R_V3kLEvCbvZSJ07D,14,13,15,15,3,15,14,14,15,5,15,14,15,15,5,15,14,13,15,5,15,15,15,15,5,15,14,15,11,1,15,12,14,15,5,14,12,15,15,3,15,15,15,15,4,15,13,14,15,5,15,15,11,15,5,15,15,15,15,2,2,retired-retail,retired- retail management ran the day to day operations of a retail store.,,,no,no
725,5/27/21 13:22,R_1o6yPw9xkYdYGRZ,12,11,15,13,1,12,13,13,14,3,14,14,14,15,5,12,14,11,15,5,15,14,15,13,5,13,12,15,14,1,15,15,14,15,5,14,13,15,15,3,14,13,14,15,2,15,15,13,15,5,15,15,12,15,5,14,15,15,15,1,1,Insurance,I am the manager of a small department that does research for employees and maintains a corporate library.,2,3,No,
734,5/27/21 13:22,R_21thyqVVsbsHden,12,13,15,15,2,12,13,13,15,4,14,15,15,15,5,12,14,14,15,4,15,15,15,11,5,13,13,15,15,2,14,13,14,15,5,12,14,15,15,1,12,14,14,15,2,14,15,13,15,5,15,15,11,15,5,12,14,15,15,1,2,administrative support (self employed),"I handle various aspects of remote administration, including, but not limited to, scheduling, communications, marketing, editing and proofreading, and (before the pandemic) pickup and delivery of goods.",,,"Nothing seemed unclear to me. There was a small error in one of the stories (it was about Susan, but mentioned Allie, who was the main person in the story that followed it) but I understood what the question was asking nonetheless.",
244,5/27/21 13:23,R_21ij4nlQfnOqK5W,12,12,14,13,2,12,14,12,12,5,12,13,12,15,5,12,15,12,15,5,15,14,13,12,5,14,13,13,13,1,11,15,13,15,5,12,13,14,15,2,12,14,13,15,2,14,15,13,15,5,15,15,11,15,5,14,14,14,15,1,2,clerical,I do data entry online.,,,no,
877,5/27/21 13:24,R_1CjQEO2D9s35Q46,11,11,15,15,2,14,14,13,14,4,12,12,14,15,5,14,14,13,15,3,15,15,15,15,5,14,13,15,15,2,15,15,13,15,5,15,15,15,15,2,11,11,14,15,4,15,15,12,15,4,15,15,12,15,5,15,15,15,15,2,2,NA,I am currently unemployed.,,,no,
