duration,date,subjectcode,rule.break,why,consequences,manager.response,you,company,other,agree,industry,job.description,manager,comments1,comments2
126,7/13/21 12:43,R_2zYENWlO4pFDczf,I intentional broke a company rule when I went home early from work last week. I wanted to get a head start on the weekend so I went home early.,I wanted to get a head start on the weekend.,"Nothing, I wasn't reprimanded.",no,1,-2,-2,-1,publishing,I write and edit.,0,no,no
201,7/13/21 12:44,R_1fa4RyZCdzG4OpT,I accessed a co worker's work mail account to help him do something related to his personal life,I owed him a favor and it was no big deal,I got a stern talking to and that was pretty much it since I was a good employee,"He told me the usual. Gave me a lecture by the books, but I don't think he really cared. So I basically got a short minute long lecture then I was on my way",-2,-2,2,-2,social media management,Manage social media for companies and garner a larger audience for the company,0,No,
74,7/13/21 12:46,R_3Kp5VdBYezuhVt2,i chose to not go to a company gathering,i do not like the people I work with,people thought I was weird,did not respond,1,-1,-1,-1,purchasing,Making purchase orders,0,,
175,7/13/21 12:49,R_2bOSO2oBygABzR3,"A customer was facing an unnecessary charge and while I didn't have the authority to issue a refund, I went ahead and did issue that refund.","It was the right thing to do for the customer, for the company, for my morals and for society.","There were no consequences, yet, maybe nobody will find out",I didn't tell my manager and I'm hoping they don't find out. ,0,-1,-2,0,Its in the gaming industry,I am a customer support representative for a video game company,0,No issues,
145,7/13/21 12:52,R_XzID1AFjMxRu0rD,"I work with animals and I'm supposed to clean up their shit twice a day but sometimes it doesn't seem necessary so I skip it,",The yard was mostly clean and I had already had a long work day,There were none. It was over a period of time where i'm the only worker on site for a month or two and I self manage.,They didn't know,1,-2,-2,1,I work with a team of dogs,"I feed them, look after their health, train them and play with them, get them exercise, clean up the yard and look over the property of the team owner",0,no,
231,7/13/21 12:53,R_1eCV8Qo9FbRnf3b,I took a personal during work hours.,I was trying to arrange some house work and I didn't think it would take very long or be that big of deal as long as I was able to get all my work done for the day.,I was just told that I shouldn't be doing it on company time., My manager said that I should take those calls at lunch or take a bathroom break and do it then.,1,-1,-2,0,I was a web developer,I was tasked with designing and building websites for clients.,0,No,
510,7/13/21 12:53,R_YPOA0NFD7QxaFON,"At my old job, I sometimes took more than an hour for lunch and would take several short breaks during the day. I was only allowed to take an hour for lunch, but sometimes would take over an hour and sometimes take 15 minute breaks at other times, because I was overworked and was involved in a toxic work environment.",I took these breaks because I was overworked and the amount of work was not feasible for one person and felt like I needed extra breaks. I also was looking to get out of the job because of the toxic work environment that developed over the last few years that I was there. I didn't really care that much of being reprimanded if something was said to me.,"There were really no consequences but sometimes my supervisor would say something and I just responded that I lost track of time. I was never written up or anything, but sometimes I had things put in my evaluation that I had developed a 'bad attitude'.","She would sometimes say something if she noticed that I was taking longer than normal for lunch break, but was never written up. She did, however, put some things in my evaluation, that I had developed a 'bad attitude'. She took longer than allowed breaks also, so I didn't really respond to any response that I got.",1,-2,-2,-2,Education,"I was a data analyst and analyzed data that we collected through surveys, etc.",0,nope,
325,7/13/21 12:53,R_1dzYxugGcYILdUa,I was told not to bring in another tech to look at a piece of necessary machinary that needed fixing that the other tech they kept bringing in couldn't fix. When my manager was out sick I called the other tech behind his back.,Because it was a plate maker for the press was imagining crooked causing all kinds of problems in the pressroom as well as quality control. I knew another tech from a previous job that worked for the same as the other tech. I was sure he could solve the problem.,The machine got fixed and NOBODY said anything.,My manager didn't say anything because he didn't want to admit I knew more than he did.,2,2,2,-2,I was a prepress manager for a commercial printing company.,To generate printing plates of the presses in the press room.,0,No.,No.
475,7/13/21 12:59,R_7OQOd6dvCX71eBX,You should take disciplinary action against an employee who violates company policies right away. You should do this because this is when what they did is most apt to be at the forefront of their mind. You also send a message to other would-be policy breakers that you mean business by doing so.,"Under the Employment at Will Doctrine, employers may fire employees for just about any reason, including company policy violation. As a result, an employee breach of the implied contract in the form of policy violation, might constitute good cause for the employer to fire the employee. ","It does not matter if you broke the item intentionally or negligently or ""with gross negligence"". An employer can seek to be reimbursed, ask you to pay for the item, fire you or otherwise discipline you, but employers who help themselves to employee wages are thieves.","In some situations, an employer is required to follow their own policies and apply them consistently, or be subject to legal liability. For example, the failure to follow established policies is illegal when: ... Or the language of an employee handbook or other policy creates a contract.",2,2,2,2,human resources,marketing,1,nothing,
949,7/13/21 13:02,R_24HMExfYXgUdOwK,A time in which I intentionally broke a company rule is when I left a catered event I was scheduled to work at to go assist another team with the event they were catering.,"Our event was easier than expected, and the amount of staff we had at it was unnecessary to handle the amount of clientele we had.  We had served everything and were basically sitting around until it was time to start breaking down everything.  Instead of staying to help my team breakdown everything, and haul it back to our shop where we'd do any necessary cleaning, I informed them that i was going to leave it to them as a colleague informed me that they were getting hammered at another event.  I felt at that moment, I would be of better use helping up their team and that my team could afford to lose me for the evening.  The other team was overwhelmed and the event they were on was far busier than expected, so I felt it would be better for me to be there, helping them get through their event, than sit around waiting for my event to end.","The consequences for my team were that it would take them a bit extra time to break down and they would likely be at our shop longer cleaning up, but on the flip side of it, it also meant that I'd be able to help the team who was overwhelmed, get through their event more smoothly, get them packed up quicker, and get their cleaning at the shop done a bit quicker so they wouldn't be stuck at work all night.  My team still would get out of a work at a reasonable hour without me assisting them, making me feel as if they'd be ok with me jumping ship to help another team out who was very much desperate for help.","My manager wished I had informed him of my decision to go help another team out, leaving the team I was on in doing so, but when I explained the situation to them as a whole, they thought I did the right thing and thanked me for doing so, as they had a lot of catered events scheduled for the night and knew some of them might be understaffed.  They just told me in the future to call them before making such decisions in the future so they can figure out if I'm best to go help another team or stay where I'm at.",2,2,2,1,Hospitality,"I work at an events supervisor for a catering company on the culinary side.  I manage some of our kitchen staff, manage serving staff at some events, and also am a preparations cook when we're preparing food for our events.",1,"No, the instructions were very clear and easy to follow",
