exclude,duration,date,subjectcode,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o
1,105,8/23/23 13:02,R_31F1aFznhmdBYcm,,,,,,,,,,,4,,well,hank,well
,113,8/23/23 13:03,R_1d14XWWabM5Cv68,1,300000,It is a reasonable sum to cover the change.,$1 million dollars.,Nothing,,,,,,,,,,
,146,8/23/23 13:04,R_1LhZ5CWg69RSOGe,,,,,,1,500000,I would split the money to be fair,A sum of $1 million,The the neighbor is reasonable,,,,,
,203,8/23/23 13:04,R_1NEobQTnA2QTxNh,,,,,,,,,,,1,300000,Hank's neighbor deserves some money too because his house was painted without his consent. so it could be used as a more positive version of hush money.,1000000,Hank thinks his neighbor is unreasonable and protective of his house.
,177,8/23/23 13:04,R_42XN1xplaAjIRP3,,,,,,1,50000,more than enough money to repaint the house any color he wants with a ton left over. ,one million dollars,he thinks the neighbor is reasonable. ,,,,,
,220,8/23/23 13:04,R_24tPqyne2ZCG6m9,1,500000,"the neighbor would probably like the money and can repaint the house, it is just paint","$1,000,000 ","nothing,he won't get any of the money",,,,,,,,,,
,197,8/23/23 13:04,R_3Ey7ssHwnbplGNa,,,,,,5,,"Although Hank is a very reasonable person, the paint on the house may have some special significance. It can be due to his family, or maybe it was last thing he did with someone special who later passed away and now treasures this paint. Otherwise, it is unnecessary and the money is based on destroying someone's property",1 million dollars,he would agree to do so especially for the new paint plus some money,,,,,
,159,8/23/23 13:04,R_XtWePYzImVU6dYl,6,,You can always repaint their house take the money. ,One million dollars.,He will leave.,,,,,,,,,,
,242,8/23/23 13:05,R_a3N29VOVjfwNTs5,1,150000,"That is more than enough to cover any costs for the neighbor to repaint their house, so it gives the neighbor some extra money too and a great story to tell people",1 million dollars,nothing happens and the stranger leaves,,,,,,,,,,
,242,8/23/23 13:05,R_3ISqu1lul02mn4e,,,,,,,,,,,6,,"Keep the money, how will Hanks neighbor know who painted his house?",1 Million dollars,that his neighbor is a unreasonable person
,201,8/23/23 13:05,R_p5JOLKSZVbIEDsZ,,,,,,,,,,,1,500000,Because its the neighbors house hes painting.,"1,000,000",Hes unreasonable 
,125,8/23/23 13:05,R_vkqV5bWSxJvDN5L,,,,,,,,,,,6,,I need the money,He will receive $1 million, unreasonable person and incredibly protective of his house
,176,8/23/23 13:05,R_24jbgsSjzgEGQIh,,,,,,,,,,,5,,That is unrealistic and how do I know if the money is fake.,$1 million,that he is unreasonable
,176,8/23/23 13:06,R_1CHkSFbsjDmeCQP,,,,,,5,,"Hank does not have permission from his neighbor to paint his house. Therefore, no matter how he distributes the money, it has the potential to inconvenience his neighbor and upset him.",$1 million,"He is a very reasonable person and would probably agree to have his house painted, especially if he were to receive payment in exchange",,,,,
,286,8/23/23 13:06,R_3pgcakc0HscqCx2,,,,,,1,10000,I wouldnt tell my neighbor how much I got paid but 10k is a reasonable amount of money thats technically free.,1million dollars,Hank thinks his neighbor is reasonable.,,,,,
