exclude,duration,date,subjectcode,a,b,c,d,e,f,g,h,gender,age,state,languages,english.primary,race1,race2,race3,race4,race5,race6,race7,race8,race9,race.text,religion1,religion2,religion3,religion4,religion5,religion6,religion7,religion8,religion9,religion10,religion11,religion12,religion13,religion.text,religiosity1,religiosity2,religiosity3,religiosity4,religiosity5,religiosity6,politics,income,education,comments 
,120,9/5/23 19:27,R_3nOAQE56G7qj1Ex,1,500000,1 million dollars,he is reasonable,,,,,female,61,34,english,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,14,4,5,
,172,9/5/23 19:28,R_pRXKVaiUbILI5Yl,,,,,1,500000,$1 million,Negative,Male,25,32,English,5,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,1,15,3,3,
,111,9/5/23 19:28,R_1rJo2EGugXs7vlT,,,,,1,50000,a million dollars,the neigbor is unreasonbale and protective of his house,male,37,36,English,5,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,15,4,7,nope. all good!
,219,9/5/23 19:29,R_3RlPQm9dIk2jOe3,,,,,1,500000,1 million dollars,He thinks he is very unreasonable and very protective of his house,Female,53,45,English,5,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,14,4,6,It's better to apologize than to ask permission IMO.  Plus Hank can always paint his house back
,222,9/5/23 19:29,R_1N37S9CIeOiIwad,1,490000,one million dollars,that he was reasonable and agreeable,,,,,female,68,49,english,5,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,14,5,5,no
,231,9/5/23 19:30,R_Zw3eTvRTxk7KNPz,1,500000,$1 million dollars in cash.,He sees him as very reasonable.,,,,,Male,31,50,English,5,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,13,2,2,
,136,9/5/23 19:30,R_3e8DFhixZaFO3lu,,,,,1,500000,one million dollars cash,that he is unreasonable,nonbinary,56,33,English,5,,,,,,,,1,,Unknown,,,,,,,,,,,,,1,Pagan,,,1,,,,14,5,3,No
,228,9/5/23 19:31,R_1Fh2ZRfbxelYPQl,5,,1miion,He likes hom,,,,,Female,28,45,English ,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,1,,,,11,4,2,
,179,9/5/23 19:31,R_2PuQdpNBvjsGagB,,,,,5,,$1 million dollars in cash,He knows his neighbor is unreasonable ,Female ,45,36,English,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,12,7,5,
,222,9/5/23 19:31,R_25YeTnGpoD869Hg,1,500000,$1 million dollars cash,He thinks his neighbor is a reasonable person,,,,,female,67,39,English,5,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,15,2,4,
,267,9/5/23 19:31,R_3qPb8Xy3Z1G0zCz,5,,$1 million ,very reasonable,,,,,female,41,18,English ,6,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,12,4,3,
,290,9/5/23 19:32,R_2X08lJU5dpCPnyz,,,,,5,,$1 million,That he is an unreasonable person,male,56,48,English,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,13,11,5,
,168,9/5/23 19:32,R_1dK0sFfr5IsFSRU,,,,,1,500000,1 million dollars,That he's an unreasonable person.,Woman,29,10,English,5,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,15,14,5,No.
,232,9/5/23 19:32,R_1rBvrRZWq4xFHjc,1,500000,One million dollars,He thinks his neighbor is a very reasonable person. ,,,,,Female,50,14,English,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,14,12,2,Everything was clear and not confusing. Thank you 
